name,price,rate
Mrs. Houdini,30.25,5
The Marriage of Opposites,28.08,4
Glory over Everything: Beyond The Kitchen House,45.84,3
"Love, Lies and Spies",20.55,2
A Paris Apartment,39.01,4
Lilac Girls,17.28,2
The Constant Princess (The Tudor Court #1),16.62,3
The Invention of Wings,37.34,1
World Without End (The Pillars of the Earth #2),32.97,4
The Passion of Dolssa,28.32,5
Girl With a Pearl Earring,26.77,1
Voyager (Outlander #3),21.07,5
The Red Tent,35.66,5
The Last Painting of Sara de Vos,55.55,2
The Guernsey Literary and Potato Peel Pie Society,49.53,1
Girl in the Blue Coat,46.83,2
Between Shades of Gray,20.79,5
While You Were Mine,41.32,5
The Secret Healer,34.56,3
Starlark,25.83,3
Lost Among the Living,27.70,4
A Spy's Devotion (The Regency Spies of London #1),16.97,5
**********,Sequential,**********
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1
This One Summer,19.49,4
The Nameless City (The Nameless City #1),38.16,4
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.40,3
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5
"Pop Gun War, Volume 1: Gift",18.97,1
Patience,10.16,3
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,2
I am a Hero Omnibus Volume 1,54.63,3
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,2
Danganronpa Volume 1,51.99,4
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,4
Camp Midnight,17.08,4
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,2
The Shadow Hero (The Shadow Hero),33.14,1
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,4
Batman: The Long Halloween (Batman),36.50,2
Batman: The Dark Knight Returns (Batman),15.38,5
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,4
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.90,1
Through the Woods,25.38,2
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,5
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,4
Robin War,47.82,3
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,2
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,2
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,2
El Deafo,57.62,5
Batman: Europa,32.01,2
Art Ops Vol. 1,48.80,3
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.90,2
"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,4
Roller Girl,14.10,5
"Fruits Basket, Vol. 7 (Fruits Basket #7)",19.57,1
"Fruits Basket, Vol. 6 (Fruits Basket #6)",20.96,4
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",36.39,3
"Fruits Basket, Vol. 5 (Fruits Basket #5)",16.33,1
"Death Note, Vol. 5: Whiteout (Death Note #5)",52.41,1
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",27.88,2
"Fruits Basket, Vol. 4 (Fruits Basket #4)",50.44,4
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",14.41,3
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",55.55,5
"Saga, Volume 3 (Saga (Collected Editions) #3)",21.57,5
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),43.63,3
Persepolis: The Story of a Childhood (Persepolis #1-2),39.13,1
Original Fake,31.45,3
"Grayson, Vol 3: Nemesis (Grayson #3)",42.72,1
"Fruits Basket, Vol. 3 (Fruits Basket #3)",45.17,2
"Black Butler, Vol. 1 (Black Butler #1)",49.31,1
Awkward,38.02,2
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",54.81,1
"Saga, Volume 2 (Saga (Collected Editions) #2)",11.75,3
"Fruits Basket, Vol. 2 (Fruits Basket #2)",11.64,5
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",18.51,4
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",36.52,2
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",54.12,3
The Complete Maus (Maus #1-2),10.64,3
"Skip Beat!, Vol. 01 (Skip Beat! #1)",42.12,3
"Saga, Volume 1 (Saga (Collected Editions) #1)",28.48,1
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",46.96,5
"Paper Girls, Vol. 1 (Paper Girls #1-5)",21.71,4
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",29.87,3
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",39.39,4
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",45.24,3
"Giant Days, Vol. 1 (Giant Days #1-4)",56.76,4
"Fruits Basket, Vol. 1 (Fruits Basket #1)",40.28,5
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",34.65,5
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",57.06,4
**********,Classics,**********
The Secret Garden,15.08,4
The Metamorphosis,28.58,1
The Pilgrim's Progress,50.26,2
The Hound of the Baskervilles (Sherlock Holmes #5),14.82,2
Little Women (Little Women #1),28.07,4
Gone with the Wind,32.49,3
Candide,58.63,3
Animal Farm,57.22,3
Wuthering Heights,17.73,3
The Picture of Dorian Gray,29.70,2
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),26.78,4
Beowulf,38.35,2
And Then There Were None,35.01,2
The Story of Hong Gildong,43.19,4
The Little Prince,45.42,2
Sense and Sensibility,37.46,1
Of Mice and Men,47.11,2
Emma,32.93,2
Alice in Wonderland (Alice's Adventures in Wonderland #1),55.53,1
**********,Philosophy,**********
Sophie's World,15.94,5
The Death of Humanity: and the Case for Life,58.11,4
The Stranger,17.44,4
Proofs of God: Classical Arguments from Tertullian to Barth,54.21,1
Kierkegaard: A Christian Missionary to Christians,47.13,1
"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",29.93,5
Critique of Pure Reason,20.75,1
"Run, Spot, Run: The Ethics of Keeping Pets",20.02,1
The Nicomachean Ethics,36.34,1
Meditations,25.89,2
Beyond Good and Evil,43.38,1
**********,Romance,**********
Chase Me (Paris Nights #2),25.27,5
Black Dust,34.53,5
Her Backup Boyfriend (The Sorensen Family #1),33.97,1
First and First (Five Boroughs #3),15.97,4
Fifty Shades Darker (Fifty Shades #2),21.96,1
The Wedding Dress,24.12,1
Suddenly in Love (Lake Haven #1),55.99,2
Something More Than This,16.24,4
Doing It Over (Most Likely To #1),35.61,3
The Wedding Pact (The O'Malleys #2),32.61,3
Hold Your Breath (Search and Rescue #1),28.82,1
Dirty (Dive Bar #1),40.83,4
Take Me Home Tonight (Rock Star Romance #3),53.98,3
Off the Hook (Fishing for Trouble #1),47.67,3
A Gentleman's Position (Society of Gentlemen #3),14.75,5
"Sit, Stay, Love",20.90,3
A Girl's Guide to Moving On (New Beginnings #2),31.30,1
The Perfect Play (Play by Play #1),59.99,3
Dark Lover (Black Dagger Brotherhood #1),12.87,1
Changing the Game (Play by Play #2),13.38,3
A Walk to Remember,56.43,1
The Purest Hook (Second Circle Tattoos #3),12.25,1
The Obsession,45.43,1
Reservations for Two,11.10,3
Best of My Love (Fool's Gold #20),27.41,2
Where Lightning Strikes (Bleeding Stars #3),39.77,3
This One Moment (Pushing Limits #1),48.71,1
"Rhythm, Chord & Malykhin",28.34,2
My Perfect Mistake (Over the Top #1),38.92,2
Listen to Me (Fusion #1),58.99,3
Imperfect Harmony,34.74,4
Fighting Fate (Fighting #6),39.24,3
Deep Under (Walker Security #1),47.09,5
Charity's Cross (Charles Towne Belles #4),41.24,1
Bounty (Colorado Mountain #7),37.26,4
**********,Womens,**********
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,4
Will You Won't You Want Me?,13.86,3
Keep Me Posted,20.46,4
Grey (Fifty Shades #4),48.49,4
Meternity,43.58,3
Some Women,13.73,5
Shopaholic Ties the Knot (Shopaholic #3),48.39,5
Can You Keep a Secret?,21.94,1
Twenties Girl,42.80,2
The Undomestic Goddess,45.75,4
The Nanny Diaries (Nanny #1),52.53,5
The Devil Wears Prada (The Devil Wears Prada #1),44.29,1
Something Borrowed (Darcy & Rachel #1),48.96,5
Something Blue (Darcy & Rachel #2),54.62,1
I've Got Your Number,19.69,1
The Edge of Reason (Bridget Jones #2),19.18,4
Bridget Jones's Diary (Bridget Jones #1),29.82,1
**********,Fiction,**********
Soumission,50.10,1
Private Paris (Private #10),47.61,5
"We Love You, Charlie Freeman",50.27,5
Thirst,17.27,5
The Murder That Never Was (Forensic Instincts #5),54.11,3
Tuesday Nights in 1980,21.04,2
The Vacationers,42.15,4
The Regional Office Is Under Attack!,51.36,5
Finders Keepers (Bill Hodges Trilogy #2),53.53,5
The Time Keeper,27.88,5
The Testament of Mary,52.67,4
The First Hostage (J.B. Collins #2),25.85,3
Take Me with You,45.21,3
Still Life with Bread Crumbs,26.41,3
Shtum,55.84,4
My Name Is Lucy Barton,41.56,1
My Mrs. Brown,24.48,3
Mr. Mercedes (Bill Hodges Trilogy #1),28.90,1
I Am Pilgrim (Pilgrim #1),10.60,4
Eligible (The Austen Project #4),27.09,3
Eight Hundred Grapes,14.39,4
Dear Mr. Knightley,11.21,5
Cometh the Hour (The Clifton Chronicles #6),25.01,3
Balloon Animals,17.03,3
A Man Called Ove,39.72,1
The Silent Sister (Riley MacPherson #1),46.29,5
The Dinner Party,56.54,2
The Improbability of Love,59.45,1
Mothering Sunday,13.34,2
Lies and Other Acts of Love,45.14,1
Daredevils,16.34,3
11/22/63,48.48,3
The Shack,28.03,1
The High Mountains of Portugal,51.15,1
Miller's Valley,58.54,2
Hystopia: A Novel,21.96,4
The Bourne Identity (Jason Bourne #1),42.78,4
Sister Dear,40.20,4
Memoirs of a Geisha,49.67,3
Me Before You (Me Before You #1),19.02,1
Deception Point,40.32,4
The Little Paris Bookshop,24.73,3
The Firm,45.56,3
The Expatriates,44.58,2
Siddhartha,34.22,5
Last One Home (New Beginnings #1),59.98,3
Digital Fortress,58.00,5
Atlas Shrugged,26.58,5
Three-Martini Lunch,23.21,3
The Nightingale,26.26,4
The Infinities,27.41,1
The Husband's Secret,52.51,5
The Da Vinci Code (Robert Langdon #2),22.96,2
The Art of Fielding,22.10,1
Lila (Gilead #3),12.47,3
Jurassic Park (Jurassic Park #1),44.97,1
Inferno (Robert Langdon #4),41.00,5
Crazy Rich Asians (Crazy Rich Asians #1),49.13,5
Big Little Lies,22.11,1
The Course of Love,16.78,3
When I'm Gone,51.96,3
The Silent Wife,12.34,5
The Bette Davis Club,30.66,3
Kitchens of the Great Midwest,57.20,5
Bright Lines,39.07,5
**********,Childrens,**********
Birdsong: A Story in Pictures,54.64,3
The Bear and the Piano,36.89,1
The Secret of Dreadwillow Carse,56.13,1
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,58.08,4
Little Red,13.47,3
Walt Disney's Alice in Wonderland,12.96,5
Twenty Yawns,22.08,2
Rain Fish,23.57,3
Once Was a Time,18.28,2
Luis Paints the World,53.95,3
Nap-a-Roo,25.08,1
The Whale,35.96,4
"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",52.87,3
Raymie Nightingale,34.41,2
Playing from the Heart,32.38,1
Maybe Something Beautiful: How Art Transformed a Neighborhood,22.54,1
The Wild Robot,56.07,3
The Thing About Jellyfish,48.77,1
The Lonely Ones,43.59,5
The Day the Crayons Came Home (Crayons),26.33,5
The Cat in the Hat (Beginner Books B-1),16.26,2
Red: The True Story of Red Riding Hood,28.54,3
Horrible Bear!,37.52,2
Green Eggs and Ham (Beginner Books B-16),10.79,4
Counting Thyme,10.62,1
Are We There Yet?,10.66,3
Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),52.88,4
Matilda,28.34,1
Charlie and the Chocolate Factory (Charlie Bucket #1),22.85,3
**********,Religion,**********
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,2
You Are What You Love: The Spiritual Power of Habit,21.87,4
God: The Most Unpleasant Character in All Fiction,30.03,5
The Book of Mormon,24.57,3
"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",27.62,1
The Bhagavad Gita,57.49,3
Choosing Our Religion: The Spiritual Lives of America's Nones,28.42,4
**********,Nonfiction,**********
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.30,5
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3
Reasons to Stay Alive,26.41,2
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2
In the Country We Love: My Family Divided,22.00,4
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,2
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,5
Algorithms to Live By: The Computer Science of Human Decisions,30.81,1
The Power of Now: A Guide to Spiritual Enlightenment,43.54,2
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,2
The Genius of Birds,17.24,1
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,5
So You've Been Publicly Shamed,12.23,2
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,3
Big Magic: Creative Living Beyond Fear,30.80,3
Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,2
Agnostic: A Spirited Manifesto,12.51,5
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.20,4
What's It Like in Space?: Stories from Astronauts Who've Been There,19.60,2
The Year of Magical Thinking,43.04,2
The Literature Book (Big Ideas Simply Explained),17.43,3
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,15.77,1
Swell: A Year of Waves,45.58,1
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,2
Looking for Lovely: Collecting the Moments that Matter,29.14,5
Let It Out: A Journey Through Journaling,26.79,5
Hamilton: The Revolution,58.79,3
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,4
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",51.75,5
Buying In: The Secret Dialogue Between What We Buy and Who We Are,37.80,4
Brain on Fire: My Month of Madness,49.32,5
Abstract City,56.37,5
13 Hours: The Inside Account of What Really Happened In Benghazi,27.06,1
The Lonely City: Adventures in the Art of Being Alone,33.26,2
The Diary of a Young Girl,59.90,3
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,21.21,3
Furiously Happy: A Funny Book About Horrible Things,41.46,4
"The Sleep Revolution: Transforming Your Life, One Night at a Time",11.68,4
"Mother, Can You Not?",16.89,5
A Mother's Reckoning: Living in the Aftermath of Tragedy,19.53,3
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",24.57,2
Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,35.92,2
"Zero to One: Notes on Startups, or How to Build the Future",34.06,3
Why Not Me?,17.76,1
When Breath Becomes Air,39.36,2
"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",28.45,4
Smarter Faster Better: The Secrets of Being Productive in Life and Business,38.89,5
Rising Strong,21.82,3
Man's Search for Meaning,29.48,3
"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",25.06,2
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,12.55,3
I Will Find You,44.21,1
Brazen: The Courage to Find the You That's Been Hiding,19.22,2
Between the World and Me,56.91,4
Being Mortal: Medicine and What Matters in the End,55.06,4
"A Murder Over a Girl: Justice, Gender, Junior High",13.20,3
For the Love: Fighting for Grace in a World of Impossible Standards,45.13,3
Finding God in the Ruins: How God Redeems Pain,46.64,2
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,59.45,4
In Cold Blood,49.98,4
"Girl, Interrupted",42.14,3
Why Save the Bankers?: And Other Essays on Our Economic and Political Crisis,48.67,2
Talking to Girls About Duran Duran: One Young Man's Quest for True Love and a Cooler Haircut,25.15,4
My Mother Was Nuts,31.63,4
"Data, A Love Story: How I Gamed Online Dating to Meet My Match",32.35,3
The Jazz of Physics: The Secret Link Between Music and the Structure of the Universe,38.71,3
The Gunning of America: Business and the Making of American Gun Culture,16.81,4
The Geography of Bliss: One Grump's Search for the Happiest Places in the World,28.23,2
God Is Not Great: How Religion Poisons Everything,27.80,1
We the People: The Modern-Day Figures Who Have Reshaped and Affirmed the Founding Fathers' Vision of America,31.95,3
Very Good Lives: The Fringe Benefits of Failure and the Importance of Imagination,50.66,3
"Unstuffed: Decluttering Your Home, Mind, and Soul",58.09,1
Under the Banner of Heaven: A Story of Violent Faith,30.00,1
"Trespassing Across America: One Man's Epic, Never-Done-Before (and Sort of Illegal) Hike Across the Heartland",53.51,1
The Name of God is Mercy,37.25,2
Stiff: The Curious Lives of Human Cadavers,36.74,3
Spilled Milk: Based on a True Story,49.51,1
"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",41.67,4
Outliers: The Story of Success,14.16,1
Notes from a Small Island (Notes From a Small Island #1),40.17,1
Night (The Night Trilogy #1),13.51,1
"Miracles from Heaven: A Little Girl, Her Journey to Heaven, and Her Amazing Story of Healing",57.83,1
Letter to a Christian Nation,22.20,1
Let's Pretend This Never Happened: A Mostly True Memoir,45.11,1
It's Never Too Late to Begin Again: Discovering Creativity and Meaning at Midlife and Beyond,42.38,1
Into the Wild,56.70,5
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",28.85,3
I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,28.88,2
Gratitude,26.66,5
Disrupted: My Misadventure in the Start-Up Bubble,15.28,5
Brave Enough,51.32,5
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",27.35,2
Blink: The Power of Thinking Without Thinking,21.74,5
Black Flags: The Rise of ISIS,40.87,1
Are We Smart Enough to Know How Smart Animals Are?,56.58,1
A Walk in the Woods: Rediscovering America on the Appalachian Trail,30.48,4
"The Suffragettes (Little Black Classics, #96)",11.89,2
Kindle Paperwhite User's Guide,34.00,3
H is for Hawk,57.42,5
Travels with Charley: In Search of America,57.82,5
The Tumor,41.56,5
The End of the Jesus Era (An Investigation #1),14.40,1
"Eat, Pray, Love",51.32,3
**********,Music,**********
Rip it Up and Start Again,35.02,5
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3
How Music Works,37.32,2
Love Is a Mix Tape (Music #1),18.03,1
Please Kill Me: The Uncensored Oral History of Punk,31.19,4
Kill 'Em and Leave: Searching for James Brown and the American Soul,45.05,5
"Chronicles, Vol. 1",52.60,2
This Is Your Brain on Music: The Science of a Human Obsession,38.40,1
"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",12.36,3
No One Here Gets Out Alive,20.02,5
Life,31.58,5
Old Records Never Die: One Man's Quest for His Vinyl and His Past,55.66,2
Forever Rockers (The Rocker #12),28.80,3
**********,Default,**********
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.60,4
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.50,3
Aladdin and His Wonderful Lamp,53.13,3
Penny Maybe,33.29,3
Maude (1883-1993):She Grew Up with the country,18.02,2
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5
Soul Reader,39.58,2
Bossypants,49.46,2
A World of Flavor: Your Gluten Free Passport,42.95,1
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,5
Tracing Numbers on a Train,41.60,3
Thirteen Reasons Why,52.72,1
The Secret (The Secret #1),27.37,4
The Psychopath Test: A Journey Through the Madness Industry,36.00,2
The Kite Runner,41.82,4
The Girl on the Train,55.02,2
The Emerald Mystery,23.15,2
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.00,3
The Art of War,33.34,5
Secrets and Lace (Fatal Hearts #1),20.27,1
Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,1
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,1
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),10.76,1
Large Print Heart of the Pride,19.15,2
Grumbles,22.16,2
First Steps for New Christians (Print Edition),29.00,1
Eureka Trivia 6.0,54.59,4
Drive: The Surprising Truth About What Motivates Us,34.95,4
Done Rubbed Out (Reightman & Bailey #1),37.72,5
Beauty Restored (Riley Family Legacy Novellas #3),11.11,2
Ayumi's Violin,15.48,2
Anonymous,46.82,4
Amy Meets the Saints and Sages,18.46,3
Amatus,50.54,5
V for Vendetta (V for Vendetta Complete),37.10,4
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",45.95,2
The Wright Brothers,56.80,4
The Songs of the Gods,44.48,5
The Rosie Project (Don Tillman #1),54.04,1
The Power of Habit: Why We Do What We Do in Life and Business,16.88,3
Steve Jobs,39.50,5
Luckiest Girl Alive,49.83,3
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",46.91,4
Lady Midnight (The Dark Artifices #1),16.28,5
"Hush, Hush (Hush, Hush #1)",47.02,3
Greek Mythic History,10.23,5
Every Last Word,46.47,3
Daily Fantasy Sports,36.58,1
Clockwork Angel (The Infernal Devices #1),44.14,1
City of Fallen Angels (The Mortal Instruments #4),11.23,4
City of Bones (The Mortal Instruments #1),43.28,1
City of Ashes (The Mortal Instruments #2),47.27,1
"Carry On, Warrior: Thoughts on Life Unarmed",31.85,3
Carrie,46.23,2
Angels & Demons (Robert Langdon #1),51.48,3
"The Three Searches, Meaning, and the Story",13.33,3
Raspberry Pi Electronics Projects for the Evil Genius,49.67,4
How to Speak Golf: An Illustrated Guide to Links Lingo,58.32,5
Eleanor & Park,56.51,5
Troublemaker: Surviving Hollywood and Scientology,48.39,2
Adultery,20.88,5
Unlimited Intuition Now,58.87,4
Underlying Notes,11.82,2
The New Brand You: Your New Image Makes the Sale for You,44.05,5
The Flowers Lied,16.68,2
"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",10.41,4
Modern Day Fables,47.44,2
The Unlikely Pilgrimage of Harold Fry (Harold Fry #1),43.62,5
The Martian (The Martian #1),41.39,2
Left Behind (Left Behind #1),40.72,2
John Vassos: Industrial Design for Modern Life,20.22,4
I'll Give You the Sun,56.48,1
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,52.86,2
Ender's Game (The Ender Quintet #1),43.64,1
Death by Leisure: A Cautionary Tale,37.51,4
Wildlife of New York: A Five-Borough Coloring Book,22.14,2
The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,34.72,1
The Great Gatsby,36.05,4
The Good Girl,49.03,3
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,33.17,4
Steal Like an Artist: 10 Things Nobody Told You About Being Creative,20.90,2
Life of Pi,13.22,4
The Sound Of Love,57.84,5
The Perks of Being a Wallflower,55.02,3
The Makings of a Fatherless Child,31.58,2
The Hobbit (Middle-Earth Universe),17.80,5
The Fellowship of the Ring (The Lord of the Rings #1),10.27,2
Ship Leaves Harbor: Essays on Travel by a Recovering Journeyman,30.60,3
Musicophilia: Tales of Music and the Brain,46.58,1
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,53.68,4
The Fault in Our Stars,47.22,1
The Dream Thieves (The Raven Cycle #2),34.50,1
The 5th Wave (The 5th Wave #1),11.83,2
